neighborhood_id,neighborhood_name,month,year,month_num,population,pct_black,pct_white,pct_hispanic,total_housing_units,census_vacancy_rate,census_vacant_units,active_vacancy_count,avg_condition_rating,condemned_count,total_violation_count,violations_per_vacancy,transit_stop_count,transit_trip_count,transit_route_count,transit_trips_per_1000pop,csb_complaint_count,csb_vacant_bldg_complaints,csb_avg_resolution_days,complaints_per_1000pop,city_monthly_crime,est_monthly_crime_count,neigh_total_crime_snapshot,firearm_incidents_snapshot,crime_rate_per_1000pop,firearm_rate_per_1000pop
01,Carondelet,2021-01,2021,1,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,4,0.13,181,19,23.4,2.46
01,Carondelet,2021-02,2021,2,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,13,0.38,181,19,23.4,2.46
01,Carondelet,2021-03,2021,3,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,55,1.68,181,19,23.4,2.46
01,Carondelet,2021-04,2021,4,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,5,0.15,181,19,23.4,2.46
01,Carondelet,2021-05,2021,5,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,13,0.44,181,19,23.4,2.46
01,Carondelet,2021-06,2021,6,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,9,0.3,181,19,23.4,2.46
01,Carondelet,2021-07,2021,7,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,9,0.31,181,19,23.4,2.46
01,Carondelet,2021-08,2021,8,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,6,0.17,181,19,23.4,2.46
01,Carondelet,2021-09,2021,9,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,9,0.29,181,19,23.4,2.46
01,Carondelet,2021-10,2021,10,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,23,0.67,181,19,23.4,2.46
01,Carondelet,2021-11,2021,11,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,8,0.25,181,19,23.4,2.46
01,Carondelet,2022-01,2022,1,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,6,0.19,181,19,23.4,2.46
01,Carondelet,2022-02,2022,2,7734,39.27,43.11,9.59,4368,21.5,939,221,4.19,7,508,2.3,36,3764,4,486.68,5629,193,19.4,727.83,12,0.34,181,19,23.4,2.46
